Study,Plot,TRT,GT,Wh,Pop,Rep,RXA,SXA,CXA,CSR,CF,CCS,Num,Dens,Perim,Pmdiff,AA,AAP,MXN,MXA,MXP,MXM,MXL,MXW,Lwmax,Lwrat,ECC,JSM,J_max,J_med,CDM,CD24med,AvgCDiam,MaxCD,HYP,OUT,CD35avg,INN
PA16,110,HN,29,4,Hybrid,F1,5.489092132,1.838373591,3.650718541,1.985841485,14.5,2480.68765,2469.979545,676.573534,8.1589677,16.98455621,0.619695752,16.97462418,30,0.194116276,10.559131,6755.596842,102.7683,82.607,126.999,1.28186616,0.625545812,5.56E-08,4.03E-09,1.70E-09,43.3808,22.0443,109.9495,59.1112,27.7226,18.32445,30.59421667,47.5287
PA16,112,HN,16,4,Hybrid,F1,6.685824803,2.5402665,4.145558303,1.631938343,15,2300.3761,3585.49535,864.9004762,9.0683804,20.40849514,0.143935804,3.47204873,32,0.362547126,14.27201146,12052.47534,142.6376,103.44295,167.9693,1.343330376,0.667669051,0.00000017,1.06E-08,5.11E-09,38.36825,17.59185,83.0833,62.6712,27.62285,18.40945,21.60475,46.319
PA16,113,HN,25,4,Hybrid,F1,8.323247489,2.908936108,5.414311381,1.861268581,18,2403.184863,5363.246811,990.5685939,10.0823811,18.18867297,0.180927528,3.341653543,27,0.33026633,11.35350923,12424.78766,141.5115,114.8434,157.569,1.242888535,0.593847826,0.000000174,1.36E-08,6.35E-09,35.85195,18.61245,86.5283,68.2162,25.51075,16.20895,23.57193333,31.3303
PA16,114,HN,12,4,Hybrid,F1,7.060318687,2.064877986,4.995440701,2.419242558,18.5,2022.144325,4194.937471,839.7532313,9.2324009,14.18223864,0.568172846,11.37382825,24,0.287040641,13.90109452,12318.41693,135.9162,115.56775,156.937,1.185148706,0.536572514,0.000000142,9.42E-09,6.02E-09,38.9385,21.44995,100.76985,64.1063,27.66235,21.5753,26.6309,42.05495
PA16,115,HN,27,4,Hybrid,F1,5.175781283,1.367481426,3.808299857,2.784900611,17,1917.697825,2617.432798,687.2969293,8.0719343,14.29762016,0,0,19,0.152135007,11.12519735,7989.838095,106.4614,104.8746,125.7233,1.05806387,0.326716094,5.34E-08,5.25E-09,2.64E-09,43.04105,16.1987,82.34235,65.105,24.40845,16.1987,22.30905,44.7926
PA16,116,HN,15,4,Hybrid,F1,6.730086664,2.704401397,4.025685267,1.488567959,16.5,1505.24025,3752.911027,932.2415385,8.9794152,20.7905883,0,0,36,0.310656587,11.48707389,8996.171844,119.46195,96.5848,150.9099,1.234086609,0.585990993,0.000000115,6.78E-09,3.24E-09,36.9565,21.6571,85.73525,52.2089,26.75935,14.71775,23.69841667,37.882
PA16,117,HN,26,4,Hybrid,F1,7.246590547,2.861429944,4.385160603,1.532506715,19,1416.952288,NA,NA,9.407859,21.09457124,0,0,29,0.242381617,8.470646538,8644.903481,115.4171,100.8346,137.253,1.172202965,0.521756296,0.000000091,6.47E-09,3.03E-09,24.92805,14.3188,63.5333,55.8131,22.0556,13.63535,16.75546667,36.1955
PA16,118,HN,6,4,Hybrid,F1,2.33057817,0.725309246,1.605268923,2.213219991,12.5,1683.5526,1598.218593,995.6080065,5.3790058,16.50185668,0,0,16,0.12259832,16.90290318,7491.971591,107.14305,87.0134,128.3634,1.174774928,0.524684584,3.81E-08,4.52E-09,2.08E-09,35.7611,18.1974,89.47585,49.1765,33.0278,16.412,24.56281667,36.8523
PA16,119,HN,30,4,Hybrid,F1,12.334673,4.714841708,7.619831297,1.616137247,21.5,3132.483613,5150.032545,675.8722528,12.2106114,19.86168623,0.029078255,0.381612842,40,0.428220168,9.082386956,10735.48492,126.87025,109.1379,173.0172,1.10904987,0.432371686,0.000000208,1.48E-08,4.68E-09,43.4033,18.82445,70.0454,71.5265,25.93865,13.20825,19.07221667,50.28655
PA16,121,HN,21,4,Hybrid,F1,6.190224466,2.257401085,3.932823381,1.74219079,16,1724.040513,3621.781154,920.911214,8.7014809,19.20881423,0.459451078,11.68247422,28,0.309456294,13.70852066,11705.53251,139.24605,108.1006,159.5545,1.270392809,0.616750581,0.000000142,9.63E-09,5.44E-09,37.18315,19.7283,88.0448,62.772,28.1648,15.874,24.12431667,44.7455
PA16,122,HN,5,4,Hybrid,F1,2.551927856,0.757650948,1.794276908,2.368210471,16,1156.250475,2737.679957,1525.784534,5.5337775,14.19196184,0.109296255,6.091381709,17,0.079567862,10.50191548,5230.139682,85.5762,78.3503,98.9568,1.092225556,0.402177304,1.77E-08,2.11E-09,1.11E-09,28.8874,16.23615,73.3217,43.8561,26.17435,11.5434,20.72926667,27.16405
