 ******* Program HYDRUS
 ******* 
 Root water uptake in a soil profile                                     
 Date:   7.10.2021    Time:  16:18: 9
 Units: L = cm   , T = days , M = mmol 



                               Node(  1)                      Node(  9)

         time            h        theta    Flux           h        theta    Flux  
         16.8410   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.866E-03
         16.9057   -10000.00  0.2782 -0.107E+00     -12389.32  0.2742  0.980E-03
         16.9704   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.892E-03
         17.0351   -10000.00  0.2782 -0.110E+00     -12460.78  0.2741  0.100E-02
         17.0997   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.869E-03
         17.1644   -10000.00  0.2782 -0.107E+00     -12397.66  0.2742  0.983E-03
         17.2291   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.894E-03
         17.2938   -10000.00  0.2782 -0.110E+00     -12468.22  0.2740  0.101E-02
         17.3585   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.871E-03
         17.4227   -10000.00  0.2782 -0.108E+00     -12381.78  0.2742  0.977E-03
         17.4868   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.885E-03
         17.5510   -10000.00  0.2782 -0.109E+00     -12426.87  0.2741  0.993E-03
         17.6151   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.856E-03
         17.6793   -10000.00  0.2782 -0.106E+00     -12346.17  0.2742  0.965E-03
         17.7434   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.876E-03
         17.8076   -10000.00  0.2782 -0.108E+00     -12402.19  0.2741  0.984E-03
         17.8717   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.850E-03
         17.9359   -10000.00  0.2782 -0.105E+00     -12329.09  0.2743  0.959E-03
         18.0000   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.872E-03
         18.0647   -10000.00  0.2782 -0.108E+00     -12411.68  0.2741  0.988E-03
         18.1294   -10000.00  0.2782 -0.106E+00     -10000.00  0.2782 -0.857E-03
         18.1941   -10000.00  0.2782 -0.106E+00     -12366.01  0.2742  0.972E-03
         18.2588   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.886E-03
         18.3235   -10000.00  0.2782 -0.109E+00     -12445.77  0.2741  0.999E-03
         18.3881   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.866E-03
         18.4528   -10000.00  0.2782 -0.107E+00     -12389.46  0.2742  0.980E-03
         18.5175   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.893E-03
         18.5822   -10000.00  0.2782 -0.110E+00     -12464.52  0.2741  0.101E-02
         18.6469   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.870E-03
         18.7116   -10000.00  0.2782 -0.108E+00     -12403.93  0.2741  0.985E-03
         18.7763   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.897E-03
         18.8410   -10000.00  0.2782 -0.110E+00     -12476.71  0.2740  0.101E-02
         18.9057   -10000.00  0.2782 -0.108E+00     -10000.00  0.2782 -0.874E-03
         18.9704   -10000.00  0.2782 -0.108E+00     -12413.72  0.2741  0.988E-03
         19.0351   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.899E-03
         19.0997   -10000.00  0.2782 -0.111E+00     -12485.19  0.2740  0.101E-02
         19.1644   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.876E-03
         19.2291   -10000.00  0.2782 -0.108E+00     -12420.74  0.2741  0.991E-03
         19.2938   -10000.00  0.2782 -0.112E+00     -10000.00  0.2782 -0.901E-03
         19.3585   -10000.00  0.2782 -0.111E+00     -12491.48  0.2740  0.101E-02
         19.4227   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.871E-03
         19.4868   -10000.00  0.2782 -0.108E+00     -12389.57  0.2742  0.980E-03
         19.5510   -10000.00  0.2782 -0.111E+00     -10000.00  0.2782 -0.889E-03
         19.6151   -10000.00  0.2782 -0.110E+00     -12439.25  0.2741  0.997E-03
         19.6793   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.860E-03
         19.7434   -10000.00  0.2782 -0.107E+00     -12360.03  0.2742  0.970E-03
         19.8076   -10000.00  0.2782 -0.110E+00     -10000.00  0.2782 -0.881E-03
         19.8717   -10000.00  0.2782 -0.109E+00     -12417.60  0.2741  0.990E-03
         19.9359   -10000.00  0.2782 -0.107E+00     -10000.00  0.2782 -0.854E-03
         20.0000   -10000.00  0.2782 -0.106E+00     -12344.77  0.2742  0.965E-03
         20.0647   -10000.00  0.2782 -0.109E+00     -10000.00  0.2782 -0.884E-03
         20.1294   -10000.00  0.2782 -0.109E+00     -12441.84  0.2741  0.998E-03
